name,photo,qualification,work_experience,current_position,current_employer,field_of_expertise,skills,average_rating
Cynthia West,https://dummyimage.com/778x553,MBA,7,Senior Product Manager,"Nielsen, Meyers and Kidd",Market Analysis,"Scrum, Project Management, Market Research, Stakeholder Management, User Experience",2.7
Wayne Gutierrez,https://picsum.photos/907/673,MSc in Computer Science,12,Senior Full Stack Developer,Lowery-Berg,Full Stack Development,"React, Angular, Full Stack Development, JavaScript, Node.js",4.5
Douglas Roman,https://picsum.photos/768/464,PhD in Computer Science,22,Lead Software Developer,Robinson LLC,Software Engineering,"Debugging, Python, Agile Methodologies, API Development, Database Management",2.4
Molly Calderon,https://placekitten.com/794/791,BSc in Computer Science,39,Principal Frontend Developer,Cooper-Brown,UI/UX Design,"UI/UX Design, CSS, HTML, Angular, TypeScript",2.0
Gilbert Kidd,https://placekitten.com/752/846,MSc in Network Engineering,15,Network Engineer,Mcintosh-Davenport,Network Security,"LAN/WAN, Network Security, Network Design, Cisco, VPN",2.3
Elizabeth Thomas PhD,https://dummyimage.com/511x194,MBA,15,Senior Product Manager,Fisher Inc,Agile Development,"Scrum, Stakeholder Management, Product Roadmap, Market Research, Product Lifecycle Management",4.1
Rebekah Howe,https://placekitten.com/273/233,BSc in Computer Science,9,Principal Mobile App Developer,Stephens-Reid,Mobile App Development,"Cross-Platform Development, Kotlin, React Native, Android Development, Java",2.6
Johnny Patel,https://dummyimage.com/323x65,PhD in Computer Science,20,Senior AI Scientist,Morris-Douglas,Deep Learning,"Computer Vision, PyTorch, Deep Learning, Reinforcement Learning, Machine Learning",3.9
John Moore,https://dummyimage.com/684x839,MSc in Computer Science,15,Principal Software Engineer,"Robinson, Wilson and Wagner",Software Engineering,"System Architecture, Agile Methodologies, Java, Debugging, Python",3.3
Lawrence Meyer,https://placekitten.com/458/166,MSc in Information Systems,26,Principal Systems Analyst,"Patton, Gilbert and Preston",System Integration,"System Integration, Technical Documentation, Requirements Gathering, Business Analysis, Database Management",2.1
Amber Foster,https://dummyimage.com/271x619,MSc in Data Engineering,2,Senior Data Engineer,Schwartz Inc,Big Data,"Data Pipeline Development, Python, Hadoop, Apache Spark, Data Warehousing",4.2
Carolyn Mcfarland,https://placekitten.com/674/795,BSc in Computer Science,8,Blockchain Developer,Brown Ltd,Blockchain Technology,"Cryptography, Hyperledger, Distributed Systems, Blockchain Development, Bitcoin",4.6
Barbara Reeves,https://placekitten.com/491/567,MSc in Computer Science,4,Lead Software Developer,White Group,System Design,"System Architecture, Database Management, Debugging, Agile Methodologies, Python",4.1
Kevin Wright,https://placekitten.com/448/519,BSc in Network Engineering,35,Senior Network Engineer,Oconnor Group,Network Administration,"Network Troubleshooting, VPN, Firewall Configuration, Wireless Networking, Cisco",2.2
Destiny Robinson,https://placekitten.com/278/385,BSc in Data Engineering,5,Principal Data Engineer,"Price, Casey and Cowan",Data Pipeline Development,"Apache Spark, SQL, Big Data, Python, Database Management",1.6
Valerie Ramirez,https://picsum.photos/729/564,PhD in Data Science,17,Data Scientist,Williams PLC,Data Science,"Machine Learning, Data Mining, Data Visualization, Statistics, R",5.0
Tracey Gutierrez,https://dummyimage.com/581x767,MSc in Blockchain Technology,19,Senior Blockchain Engineer,Kelley-Fuller,Smart Contracts,"Distributed Systems, Consensus Algorithms, Ethereum, Solidity, Hyperledger",2.4
Mr. Blake Miller,https://dummyimage.com/554x1004,BSc in Information Technology,5,Frontend Developer,"Barton, Stephens and Williams",Responsive Design,"Angular, HTML, Responsive Design, JavaScript, React",3.5
Eric Salinas,https://placekitten.com/680/518,BSc in Data Science,3,Senior Data Scientist,Roach-Farmer,Machine Learning,"Data Mining, Natural Language Processing, Python, Data Visualization, R",4.6
Mark Novak,https://picsum.photos/509/304,BSc in Data Science,17,Principal Data Scientist,Williams-Buckley,Big Data,"Big Data, Data Mining, Statistics, Machine Learning, Natural Language Processing",2.6
Douglas Kaiser,https://picsum.photos/27/684,MSc in Blockchain Technology,32,Blockchain Developer,"Spears, Knapp and Rodgers",Decentralized Applications (DApps),"Solidity, Distributed Systems, Blockchain Development, Consensus Algorithms, Cryptography",1.2
Jesse Wilson,https://dummyimage.com/947x842,MSc in Computer Science,22,Principal Backend Developer,Herrera-Myers,API Development,"Python, NoSQL Databases, Go, Java, REST APIs",4.6
Heidi Ramirez,https://placekitten.com/793/670,MSc in Data Science,23,Data Scientist,Garcia-Neal,Big Data,"Data Mining, Python, Big Data, Data Visualization, SQL",2.9
Deanna Webb,https://dummyimage.com/410x652,BSc in Computer Science,26,Backend Developer,Smith LLC,API Development,"Node.js, REST APIs, NoSQL Databases, Python, SQL",2.8
Matthew Jones,https://dummyimage.com/472x731,BSc in Information Systems,22,Principal Systems Analyst,White-Harris,System Integration,"System Integration, Requirements Gathering, Technical Documentation, Process Improvement, System Analysis",3.5
Karina Smith,https://picsum.photos/112/341,MSc in Information Systems,27,Senior Systems Analyst,Henson-Bell,System Integration,"Database Management, Process Improvement, Business Analysis, UML, Requirements Gathering",2.4
Brenda Miller,https://dummyimage.com/148x355,PhD in Computer Science,26,Lead Software Developer,"Santana, Harris and Dixon",System Design,"System Architecture, C++, Python, Database Management, API Development",4.3
Jerry Bowen,https://dummyimage.com/894x204,MSc in Computer Science,40,Principal Full Stack Developer,"Buchanan, Lee and Johnson",Frontend and Backend Integration,"React, Full Stack Development, SQL, Angular, Node.js",1.8
Paul Williams,https://picsum.photos/543/220,MSc in Computer Science,36,Lead Software Developer,"Sullivan, Woods and Stark",Software Engineering,"Python, Java, System Architecture, Debugging, API Development",3.0
Tina Fleming,https://picsum.photos/359/897,MSc in Computer Science,10,Principal Full Stack Developer,Mclaughlin-Hughes,Web Development,"HTML, Node.js, Angular, REST APIs, Full Stack Development",1.6
Sophia Christensen,https://picsum.photos/79/577,PhD in Computer Science,9,Principal Software Engineer,Rios LLC,Cloud Computing,"Agile Methodologies, Database Management, Debugging, Java, C++",4.9
Angel Hughes,https://dummyimage.com/853x48,MSc in Cybersecurity,31,Senior Cybersecurity Analyst,"Herrera, Johnson and White",Cybersecurity,"Penetration Testing, Ethical Hacking, Cryptography, Incident Response, Firewall Management",1.8
Wayne Figueroa,https://dummyimage.com/477x493,BSc in Information Technology,39,Senior Frontend Developer,Taylor PLC,Responsive Design,"Angular, UI/UX Design, CSS, React, Vue.js",3.0
Chelsea Fitzpatrick,https://placekitten.com/444/184,MSc in Computer Science,12,Senior Mobile App Developer,Peterson-Russo,Android Development,"iOS Development, Mobile UI Design, Android Development, Cross-Platform Development, Swift",4.7
Jon Trujillo,https://picsum.photos/897/943,BSc in Computer Science,14,Principal Frontend Developer,Bowman Ltd,UI/UX Design,"Responsive Design, TypeScript, UI/UX Design, Angular, Vue.js",1.2
Rebecca Brown,https://dummyimage.com/862x879,BSc in Network Engineering,29,Network Engineer,Barr-Hart,Network Security,"VPN, Firewall Configuration, Wireless Networking, Network Design, Network Troubleshooting",1.5
Casey Dunn,https://dummyimage.com/923x882,BSc in Computer Science,32,Principal Frontend Developer,Allen-Arnold,Web Development,"React, HTML, JavaScript, TypeScript, Angular",1.7
Jason Carrillo,https://picsum.photos/738/700,BSc in Computer Science,15,Senior Blockchain Engineer,Gordon-Collins,Smart Contracts,"Bitcoin, Blockchain Development, Distributed Systems, Consensus Algorithms, Ethereum",1.1
Maurice Rivera,https://placekitten.com/149/619,PhD in Computer Science,1,AI Researcher,Brown-Scott,Deep Learning,"Natural Language Processing, PyTorch, Reinforcement Learning, Algorithm Development, TensorFlow",2.5
Julia Rogers,https://placekitten.com/472/856,PhD in Computer Science,9,Lead Software Developer,"Bryant, Gonzalez and Edwards",Software Engineering,"Software Design, Debugging, Agile Methodologies, Java, Python",1.2
Nicole Lopez,https://placekitten.com/627/950,MSc in Computer Science,19,Principal Backend Developer,Farrell Group,Database Management,"Python, REST APIs, Microservices, Node.js, NoSQL Databases",4.1
Robert Hensley,https://dummyimage.com/614x804,BSc in Information Technology,1,Principal Frontend Developer,Perkins-Haynes,Web Development,"React, JavaScript, UI/UX Design, TypeScript, Vue.js",2.4
Kelly Miller,https://picsum.photos/42/823,BSc in Computer Science,15,Full Stack Developer,"Price, Adams and Freeman",Web Development,"Angular, HTML, SQL, Full Stack Development, CSS",1.5
Reginald Barker,https://placekitten.com/358/597,MSc in Computer Science,22,Principal Full Stack Developer,Simon-Ho,Full Stack Development,"Node.js, Full Stack Development, React, JavaScript, HTML",3.9
Danielle Simpson,https://dummyimage.com/618x821,MSc in Blockchain Technology,29,Senior Blockchain Engineer,Norris-Martinez,Blockchain Technology,"Distributed Systems, Blockchain Development, Ethereum, Hyperledger, Bitcoin",2.8
David Hamilton,https://picsum.photos/194/1003,MSc in Data Science,8,Data Scientist,"Clayton, Lyons and Taylor",Predictive Analytics,"Natural Language Processing, SQL, Data Mining, Statistics, Big Data",1.9
Brandon Guzman,https://dummyimage.com/374x287,BSc in Computer Science,25,Senior Backend Developer,Wilkins and Sons,API Development,"Backend Development, Go, REST APIs, Microservices, Python",3.9
Patricia Logan,https://placekitten.com/949/410,PhD in Artificial Intelligence,11,Senior AI Scientist,Ryan-Weaver,Artificial Intelligence,"Machine Learning, PyTorch, Deep Learning, Natural Language Processing, TensorFlow",3.2
Jon Sullivan,https://placekitten.com/23/750,BSc in Information Systems,13,Senior Systems Analyst,Watson-Cooper,Process Improvement,"Process Improvement, Technical Documentation, Requirements Gathering, System Analysis, System Integration",2.1
Natalie Cook,https://picsum.photos/671/775,BSc in Information Systems,25,Systems Analyst,Robles-Lang,System Integration,"Business Analysis, Database Management, UML, Technical Documentation, Process Improvement",1.3
Kelli Charles,https://picsum.photos/684/350,BSc in Data Science,38,Principal Data Scientist,"Huffman, Baker and Jackson",Big Data,"Data Mining, Natural Language Processing, R, Machine Learning, Statistics",1.8
Victor Robinson,https://dummyimage.com/888x238,BSc in Information Technology,34,Senior Frontend Developer,"Cohen, Rodriguez and Conway",Responsive Design,"Vue.js, TypeScript, React, CSS, Angular",3.4
Deborah Lloyd,https://picsum.photos/281/296,MSc in Computer Science,5,Lead Software Developer,Alexander-Hill,Database Systems,"Debugging, Software Design, C++, Agile Methodologies, Python",2.0
Randy Anderson,https://dummyimage.com/304x949,BSc in Cybersecurity,23,Cybersecurity Expert,Green-Powell,Network Security,"Ethical Hacking, Network Security, Firewall Management, Incident Response, Penetration Testing",2.4
Chloe Miller,https://picsum.photos/699/627,MSc in Network Engineering,18,Network Engineer,Miller-Blackwell,Network Administration,"Network Security, Network Troubleshooting, Wireless Networking, Firewall Configuration, LAN/WAN",3.8
Joseph Smith,https://dummyimage.com/553x959,BSc in Computer Science,39,Senior Mobile App Developer,"Davis, Fernandez and Marshall",Mobile App Development,"Android Development, React Native, Flutter, Cross-Platform Development, Swift",3.1
Kathleen Pena,https://picsum.photos/774/777,BSc in Information Systems,30,Senior Systems Analyst,Moreno-Trevino,Business Analysis,"System Integration, Database Management, System Analysis, UML, Business Analysis",2.5
Elizabeth Yates,https://dummyimage.com/477x474,MSc in Computer Science,5,Backend Developer,"Dennis, Wilson and Kelly",Microservices Architecture,"REST APIs, Go, NoSQL Databases, Python, Microservices",2.1
Sophia Clay,https://dummyimage.com/757x943,PhD in Data Science,9,Data Scientist,"Martin, Hodge and Lee",Big Data,"Natural Language Processing, Data Visualization, SQL, Machine Learning, Statistics",3.6
Sandra Cooper,https://dummyimage.com/967x708,BSc in Computer Science,30,Senior Mobile App Developer,Williams-Coleman,Android Development,"Flutter, iOS Development, Android Development, Mobile UI Design, Kotlin",3.8
William Chambers,https://placekitten.com/726/228,BSc in Data Science,34,Data Scientist,"Nguyen, Nash and Oneill",Data Science,"Data Mining, SQL, R, Data Visualization, Statistics",2.4
Brenda Allen,https://placekitten.com/602/941,MSc in Blockchain Technology,30,Senior Blockchain Engineer,Hall Group,Blockchain Technology,"Hyperledger, Ethereum, Distributed Systems, Solidity, Consensus Algorithms",4.8
Johnny Rivers,https://placekitten.com/242/906,BSc in Computer Science,30,Frontend Developer,Lara-Sanchez,Web Development,"Responsive Design, React, HTML, UI/UX Design, Vue.js",1.7
Amber Hanna,https://placekitten.com/99/571,PhD in Computer Science,34,Lead Software Developer,"Blanchard, Huber and Hoffman",Database Systems,"Java, Python, Debugging, System Architecture, Database Management",2.4
Katrina Daniels,https://dummyimage.com/701x890,MSc in Computer Science,31,Senior Full Stack Developer,"Young, Thompson and Davis",Web Development,"React, Full Stack Development, Node.js, CSS, Angular",3.6
Benjamin Moran,https://dummyimage.com/612x246,PhD in Artificial Intelligence,28,Senior AI Scientist,Welch Group,Computer Vision,"Algorithm Development, Reinforcement Learning, Deep Learning, Computer Vision, TensorFlow",5.0
Raymond Brown,https://picsum.photos/203/538,MSc in Network Engineering,4,Principal Network Engineer,"Summers, Jones and Daniel",Networking,"Network Security, Wireless Networking, Network Design, Network Troubleshooting, Cisco",2.6
John Johnson,https://picsum.photos/958/342,BSc in Data Engineering,34,Principal Data Engineer,"Jones, Collins and Brown",Data Engineering,"SQL, Hadoop, ETL, Data Pipeline Development, Database Management",4.9
Penny Ramirez,https://dummyimage.com/415x250,MSc in Blockchain Technology,33,Principal Blockchain Developer,"Zuniga, Bonilla and Adams",Decentralized Applications (DApps),"Bitcoin, Smart Contracts, Cryptography, Distributed Systems, Consensus Algorithms",1.8
Evelyn Hawkins,https://placekitten.com/250/645,BSc in Computer Science,16,Principal Software Engineer,Hall LLC,Cloud Computing,"Debugging, Agile Methodologies, Database Management, System Architecture, API Development",3.0
Samantha Bennett,https://placekitten.com/309/910,BSc in Computer Science,18,Principal Software Engineer,"Stevenson, Lambert and Swanson",System Design,"API Development, Software Design, Agile Methodologies, C++, Debugging",3.4
Danielle Mitchell,https://picsum.photos/444/285,MSc in Network Engineering,37,Principal Network Engineer,Foster-Lowe,Network Administration,"Cisco, TCP/IP, Network Troubleshooting, VPN, Wireless Networking",4.3
